iter	Passed	Remaining
780	1123588	1753719
781	1124851	1752006
782	1126180	1750397
783	1127429	1748665
784	1128750	1747046
785	1129903	1745168
786	1131198	1743511
787	1132497	1741862
788	1133860	1740311
789	1135074	1738531
790	1136325	1736810
791	1137693	1735269
792	1139194	1733932
793	1140559	1732386
794	1141896	1730799
795	1143157	1729097
796	1144592	1727659
797	1145932	1726078
798	1147191	1724377
799	1148421	1722632
800	1149681	1720933
801	1151009	1719337
802	1152342	1717750
803	1153634	1716102
804	1155123	1714748
805	1156419	1713107
806	1157711	1711462
807	1159042	1709874
808	1160418	1708354
809	1161762	1706787
810	1163093	1705201
811	1164518	1703754
812	1165700	1701950
813	1166948	1700246
814	1168320	1698723
815	1169603	1697072
816	1171018	1695611
817	1172391	1694091
818	1173527	1692229
819	1174720	1690451
820	1176153	1689019
821	1177352	1687251
822	1178798	1685839
823	1180138	1684275
824	1181345	1682522
825	1182583	1680815
826	1183911	1679235
827	1185276	1677710
828	1186627	1676165
829	1188076	1674758
830	1189390	1673162
831	1190694	1671552
832	1192003	1669949
833	1193209	1668204
834	1194576	1666684
835	1195984	1665222
836	1197296	1663626
837	1198584	1661999
838	1200011	1660564
839	1201367	1659030
840	1202650	1657398
841	1203939	1655774
842	1205370	1654345
843	1206640	1652696
844	1207933	1651081
845	1209239	1649483
846	1210552	1647894
847	1211976	1646458
848	1213269	1644844
849	1214611	1643297
850	1215878	1641650
851	1217206	1640086
852	1218652	1638680
853	1219914	1637027
854	1221234	1635454
855	1222593	1633933
856	1224016	1632498
857	1225278	1630847
858	1226446	1629074
859	1227887	1627664
860	1229179	1626057
861	1230412	1624372
862	1231712	1622777
863	1232914	1621054
864	1234203	1619446
865	1235403	1617722
866	1236649	1616059
867	1237866	1614359
868	1239166	1612770
869	1240420	1611121
870	1241734	1609550
871	1243023	1607948
872	1244263	1606283
873	1245455	1604557
874	1246763	1602981
875	1248074	1601410
876	1249381	1599835
877	1250708	1598286
878	1252047	1596752
879	1253340	1595161
880	1254790	1593769
881	1256090	1592186
882	1257382	1590595
883	1258593	1588902
884	1259929	1587368
885	1261259	1585827
886	1262516	1584194
887	1263944	1582776
888	1265367	1581353
889	1266854	1580009
890	1268701	1579113
891	1269924	1577440
892	1271283	1575935
893	1272528	1574291
894	1273912	1572819
895	1275160	1571179
896	1276554	1569720
897	1277869	1568164
898	1279100	1566506
899	1280551	1565118
900	1281996	1563722
901	1283268	1562116
902	1284720	1560728
903	1285932	1559051
904	1287394	1557675
905	1288696	1556108
906	1289933	1554462
907	1291360	1553045
908	1292821	1551670
909	1294130	1550112
910	1295373	1548475
911	1296694	1546934
912	1297903	1545258
913	1299216	1543708
914	1300508	1542132
915	1301806	1540566
916	1303015	1538894
917	1304337	1537356
918	1305605	1535755
919	1307034	1534345
920	1308252	1532686
921	1309564	1531139
922	1310858	1529571
923	1312258	1528127
924	1313543	1526551
925	1314737	1524868
926	1316074	1523353
927	1317422	1521849
928	1318767	1520344
929	1320098	1518823
930	1321470	1517348
931	1322904	1515946
932	1324295	1514494
933	1325599	1512943
